snake_sub_family,higher_snake_family,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
Lachesis melanocephala,Lachesis,,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,,1
Lachesis stenophrys,Lachesis,,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,,1
Porthidium dunni,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Porthidium hespere,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothrocophias hyoprora,Bothrocophias,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Porthidium lansbergii,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Porthidium nasutum,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Porthidium ophryomegas,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Porthidium volcanicum,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Porthidium yucatanicum,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Atropoides nummifer,Atropoides,,Probably not present,Probably not present,Possibly present but not clinically significant,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Atropoides olmec,Atropoides,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Atropoides picadoi,Atropoides,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Cerrophidion barbouri,Cerrophidion,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Cerrophidion godmani,Cerrophidion,,Probably not present,Probably not present,Possibly present but not clinically significant,Present but possibly not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Cerrophidion tzotzilorum,Cerrophidion,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Ophryacus undulatus,Ophryacus,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Ophryacus melanurus,Ophryacus,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis aurifer,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis bicolor,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis lateralis,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis marchi,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis nigroviridis,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothriechis rowleyi,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothrops oligolepis,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops bilineata,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops medusa,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrops punctatus,Bothrops,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops taeniata,Bothrops,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrocophias andianus,Bothrocophias,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops asper,Bothrops,,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Present but not defined,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops barnetti,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops brazili,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops caribbaeus,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops fonsecai,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops iglesiasi,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops insularis,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops itapetiningae,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops lanceolatus,Bothrops,,Not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Bothrops lojanus,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrops marajoensis,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrocophias microphthalmus,Bothrocophias,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrocophias colombianus,Bothrocophias,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops pictus,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops pirajai,Bothrops,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops pradoi,Bothrops,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops pulchra,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,"Unknown, possibly Fibrinogenases",,1
Bothrops roedingeri,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops sanctaecrucis,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops venezuelensis,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrops xanthogrammus,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrops jonathani,Bothrops,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Hemiaspis damelii,Hemiaspis,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Hemiaspis signata,Hemiaspis,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Ovophis zayuensis,Ovophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Atheris rungweensis,Atheris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Atheris acuminata,Atheris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Atheris broadleyi,Atheris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Bothrops alcatraz,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Atheris subocularis,Atheris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Atheris hirsuta,Atheris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,1
Bothrops muriciensis,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothriechis thalassinus,Bothriechis,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Trimeresurus vogeli,Trimeresurus,,Possibly present,Probably not present,Possibly present,Probably not present,,,Probably not present,,Possibly present,,1
Thelotornis mossambicanus,Thelotornis,,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Present but not defined,,1
Thelotornis usambaricus,Thelotornis,,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Present but not defined,,1
Bothrocophias myersi,Bothrocophias,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothrocophias campbelli,Bothrocophias,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Trimeresurus malcolmi,Trimeresurus,,Possibly present,Probably not present,Possibly present,Probably not present,,,Probably not present,,Possibly present,,1
Bothrops oligolepsis,Bothrops,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,"Unknown, possibly Fibrinogenases",,1
Vipera magnifica,Vipera,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Vipera orlovi,Vipera,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Rhabdophis adleri,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis angeli,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis auriculata,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis barbouri,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis callichroma,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis chrysargoides,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis chrysargos,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis conspicillatus,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis himalayanus,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis leonardi,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis lineatus,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis murudensis,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis nigrocinctus,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis nuchalis,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis spilogaster,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Rhabdophis swinhonis,Rhabdophis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Vipera anatolica,Vipera,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Vipera ebneri,Vipera,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Cerrophidion petlalcalensis,Cerrophidion,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Echis omanensis,Echis,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,1
Porthidium porrasi,Porthidium,,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Lachesis acrochorda,Lachesis,,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,,1
Bothrops osbornei,Bothrops,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Atropoides mexicanus,Atropoides,,Probably not present,Probably not present,Possibly present but not clinically significant,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Atropoides occiduus,Atropoides,,Probably not present,Probably not present,Possibly present but not clinically significant,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Trimeresurus venustus,Trimeresurus,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Possibly present,Probably not present,,Probably present,,1
Trimeresurus andersoni,Trimeresurus,,Possibly present,Probably not present,Possibly present,,,,Probably not present,,Probably present,,1
Tropidolaemus subannulatus,Tropidolaemus,,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
Tropidolaemus philippinensis,Tropidolaemus,,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
Tropidolaemus laticinctus,Tropidolaemus,,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
Bothrops diporus,Bothrops,,Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Bothrops lutzi,Bothrops,,Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Bothrops matogrossensis,Bothrops,,Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Bothrops pauloensis,Bothrops,,Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Bothrops marmoratus,Bothrops,,Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Crotalus ornatus,Crotalus,,,,Present but not defined,,,,Not present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Possibly present,,1
Rhinoplocephalus bicolor,Rhinoplocephalus,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Cryptophis boschmai,Cryptophis,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Cryptophis incredibilis,Cryptophis,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Cryptophis nigrostriatus,Cryptophis,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Cryptophis pallidiceps,Cryptophis,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Sistrurus miliarius,Sistrurus,,,Not likely to be present,Present but not defined,,Not likely to be present,Not likely to be present,Not likely  to be present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,,,1
Balanophis ceylonensis,Balanophis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga ceylonensis,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga forsteni,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Cerberus rhynchops,Cerberus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Hemorrhois ravergieri,Hemorrhois,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Platyceps rhodorachis,Platyceps,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Enhydris enhydris,Enhydris,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Amplorhinus multimaculatus,Amplorhinus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Crotaphopeltis hotamboeia,Crotaphopeltis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Madagascarophis meridionalis,Madagascarophis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Psammophis biseriatus,Psammophis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Psammophis phillipsii,Psammophis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Psammophis sibilians,Psammophis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Psammophylax rhombeatus,Psammophylax,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Psammophylax tritaeniatus,Psammophylax,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Telescopus semiannulatus,Telescopus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga andamanensis,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga angulata,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga barnesii,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga beddomei,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga cyanea,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga cynodon,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga dightoni,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga drapiezii,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga gokool,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga guangxiensis,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga jaspidea,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga kraepelini,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga multifasciata,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga multomaculata,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga nigriceps,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga nuchalis,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga siamensis,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga ochracea,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga philippina,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga quincunciata,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga saengsomi,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga trigonata,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Boiga wallachi,Boiga,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Cerberus microlepis,Cerberus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Cantoria annulata,Cantoria,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Cantoria violacea,Cantoria,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis bifrenalis,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis calligastra,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis caudolineatus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis cyanochloris,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis formosus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis gastrosticus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis gorei,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis grandoculis,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis humayuni,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis inornatus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis lorentzi,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis caudolineolata,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis ngansonensis,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis oliveri,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis papuensis,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis pictus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis punctulatus,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
Dendrelaphis salomonis,Dendrelaphis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,0
