week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
16,Movie,Code 8,Canada,Science Fiction,2019-12-06,False,61,79,FIN,https://flixpatrol.com/title/code-8,EUR,2019,12
16,Documentary TV,"Tiger King: Murder, Mayhem and Madness",USA,Documentary,2020-03-20,True,81,0,FIN,https://flixpatrol.com/title/tiger-king-murder-mayhem-and-madness,EUR,2020,3
15,Movie,Coffee & Kareem,USA,Comedy,2020-04-03,True,50,19,FIN,https://flixpatrol.com/title/coffee-kareem,EUR,2020,4
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,FIN,https://flixpatrol.com/title/money-heist,EUR,2017,5
14,Movie,Hotel Transylvania 3: Summer Vacation,USA,Animated,2018-07-12,False,65,60,FIN,https://flixpatrol.com/title/hotel-transylvania-3-summer-vacation,EUR,2018,7
14,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,FIN,https://flixpatrol.com/title/money-heist,EUR,2017,5
13,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73,0,FIN,https://flixpatrol.com/title/the-platform,EUR,2020,3
13,TV Show,Gotham,USA,Superhero,2014-09-22,True,80,77,FIN,https://flixpatrol.com/title/gotham,EUR,2014,9
37,Movie,The Grinch,USA,Animated,2018-11-08,False,63,58,QAT,https://flixpatrol.com/title/dr-seuss-how-the-grinch-stole-christmas,ASI,2018,11
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71,73,QAT,https://flixpatrol.com/title/away-2020,ASI,2020,9
36,Movie,Skyscraper,USA,Action,2018-07-04,False,61,48,QAT,https://flixpatrol.com/title/skyscraper,ASI,2018,7
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,QAT,https://flixpatrol.com/title/lucifer,ASI,2016,1
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55,80,QAT,https://flixpatrol.com/title/the-sleepover,ASI,2020,8
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,QAT,https://flixpatrol.com/title/lucifer,ASI,2016,1
34,Movie,Project Power,USA,Action,2020-08-14,True,61,63,QAT,https://flixpatrol.com/title/project-power,ASI,2020,8
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90,0,QAT,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI,2020,6
33,Movie,Work It,USA,Comedy,2020-08-07,True,61,0,QAT,https://flixpatrol.com/title/work-it-2020,ASI,2020,8
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,QAT,https://flixpatrol.com/title/the-umbrella-academy,ASI,2019,2
32,Movie,Jumanji: Welcome to the Jungle,USA,Adventure,2017-12-20,False,69,76,QAT,https://flixpatrol.com/title/jumanji-welcome-to-the-jungle,ASI,2017,12
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,QAT,https://flixpatrol.com/title/the-umbrella-academy,ASI,2019,2
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,QAT,https://flixpatrol.com/title/the-kissing-booth-2,ASI,2020,7
