,From Date,To Date,SO2
34293,2020-06-16 01:15:00,2020-06-16 01:30:00,15.17
34389,2020-06-17 01:15:00,2020-06-17 01:30:00,4.43
34485,2020-06-18 01:15:00,2020-06-18 01:30:00,None
34581,2020-06-19 01:15:00,2020-06-19 01:30:00,13.02
34677,2020-06-20 01:15:00,2020-06-20 01:30:00,18.16
34773,2020-06-21 01:15:00,2020-06-21 01:30:00,18.76
34869,2020-06-22 01:15:00,2020-06-22 01:30:00,14.12
34965,2020-06-23 01:15:00,2020-06-23 01:30:00,4.38
35061,2020-06-24 01:15:00,2020-06-24 01:30:00,13.1
35157,2020-06-25 01:15:00,2020-06-25 01:30:00,11.79
35253,2020-06-26 01:15:00,2020-06-26 01:30:00,10.03
35349,2020-06-27 01:15:00,2020-06-27 01:30:00,None
35445,2020-06-28 01:15:00,2020-06-28 01:30:00,18.63
35541,2020-06-29 01:15:00,2020-06-29 01:30:00,9.56
35637,2020-06-30 01:15:00,2020-06-30 01:30:00,14.88
35733,2020-01-07 01:15:00,2020-01-07 01:30:00,14.88
35829,2020-02-07 01:15:00,2020-02-07 01:30:00,28.56
35925,2020-03-07 01:15:00,2020-03-07 01:30:00,15.54
36021,2020-04-07 01:15:00,2020-04-07 01:30:00,21.8
36117,2020-05-07 01:15:00,2020-05-07 01:30:00,9.38
36213,2020-06-07 01:15:00,2020-06-07 01:30:00,16.43
36309,2020-07-07 01:15:00,2020-07-07 01:30:00,14.49
36405,2020-08-07 01:15:00,2020-08-07 01:30:00,17.79
36501,2020-09-07 01:15:00,2020-09-07 01:30:00,17.58
36597,2020-10-07 01:15:00,2020-10-07 01:30:00,16.4
36693,2020-11-07 01:15:00,2020-11-07 01:30:00,22.27
36789,2020-12-07 01:15:00,2020-12-07 01:30:00,20.44
36885,2020-07-13 01:15:00,2020-07-13 01:30:00,19.26
36981,2020-07-14 01:15:00,2020-07-14 01:30:00,15.93
37077,2020-07-15 01:15:00,2020-07-15 01:30:00,19.96
37173,2020-07-16 01:15:00,2020-07-16 01:30:00,8.46
37269,2020-07-17 01:15:00,2020-07-17 01:30:00,21.9
37365,2020-07-18 01:15:00,2020-07-18 01:30:00,18.47
37461,2020-07-19 01:15:00,2020-07-19 01:30:00,22.98
37557,2020-07-20 01:15:00,2020-07-20 01:30:00,5.74
37653,2020-07-21 01:15:00,2020-07-21 01:30:00,29.45
37749,2020-07-22 01:15:00,2020-07-22 01:30:00,20.93
37845,2020-07-23 01:15:00,2020-07-23 01:30:00,21.3
37941,2020-07-24 01:15:00,2020-07-24 01:30:00,10.48
38037,2020-07-25 01:15:00,2020-07-25 01:30:00,11.84
38133,2020-07-26 01:15:00,2020-07-26 01:30:00,15.96
38229,2020-07-27 01:15:00,2020-07-27 01:30:00,0.05
38325,2020-07-28 01:15:00,2020-07-28 01:30:00,None
38421,2020-07-29 01:15:00,2020-07-29 01:30:00,25.31
38517,2020-07-30 01:15:00,2020-07-30 01:30:00,9.98
38613,2020-07-31 01:15:00,2020-07-31 01:30:00,10.66
38709,2020-01-08 01:15:00,2020-01-08 01:30:00,4.11
38805,2020-02-08 01:15:00,2020-02-08 01:30:00,25.36
38901,2020-03-08 01:15:00,2020-03-08 01:30:00,16.56
38997,2020-04-08 01:15:00,2020-04-08 01:30:00,7.41
39093,2020-05-08 01:15:00,2020-05-08 01:30:00,20.07
39189,2020-06-08 01:15:00,2020-06-08 01:30:00,11.97
39285,2020-07-08 01:15:00,2020-07-08 01:30:00,7.57
39381,2020-08-08 01:15:00,2020-08-08 01:30:00,5.08
39477,2020-09-08 01:15:00,2020-09-08 01:30:00,12
39573,2020-10-08 01:15:00,2020-10-08 01:30:00,22.43
39669,2020-11-08 01:15:00,2020-11-08 01:30:00,20.54
39765,2020-12-08 01:15:00,2020-12-08 01:30:00,15.14
39861,2020-08-13 01:15:00,2020-08-13 01:30:00,14.28
39957,2020-08-14 01:15:00,2020-08-14 01:30:00,12.81
40053,2020-08-15 01:15:00,2020-08-15 01:30:00,22.77
40149,2020-08-16 01:15:00,2020-08-16 01:30:00,18.03
40245,2020-08-17 01:15:00,2020-08-17 01:30:00,None
40341,2020-08-18 01:15:00,2020-08-18 01:30:00,10.53
40437,2020-08-19 01:15:00,2020-08-19 01:30:00,7.31
40533,2020-08-20 01:15:00,2020-08-20 01:30:00,3.75
40629,2020-08-21 01:15:00,2020-08-21 01:30:00,3.93
40725,2020-08-22 01:15:00,2020-08-22 01:30:00,33.33
40821,2020-08-23 01:15:00,2020-08-23 01:30:00,5.97
40917,2020-08-24 01:15:00,2020-08-24 01:30:00,9.48
41013,2020-08-25 01:15:00,2020-08-25 01:30:00,6.16
41109,2020-08-26 01:15:00,2020-08-26 01:30:00,7.83
41205,2020-08-27 01:15:00,2020-08-27 01:30:00,3.75
